Title,Author,Rating,Avg Rating,Date Added,Num Pages
The Last Black Unicorn,"Haddish, Tiffany",liked it,3.84,"Jan 17, 2018",288pp
"Carry On(Simon Snow, #1)","Rowell, Rainbow",liked it,4.16,"Jan 15, 2018",522pp
"Reflex(Jumper, #2)","Gould, Steven",liked it,3.99,"Jan 14, 2018",380pp
"Spin(Spin, #1)","Wilson, Robert Charles",really liked it,4.04,"Jan 14, 2018",458pp
"Jumper(Jumper, #1)","Gould, Steven",really liked it,3.93,"Jan 13, 2018",345pp
Fire and Fury: Inside the Trump White House,"Wolff, Michael",liked it,3.44,"Jan 10, 2018",322pp
"Heart of Stone(Bad Things, #5)","Eden, Cynthia",it was ok,4.19,"Jan 07, 2018",235pp
Pimp: The Story of My Life,"Slim, Iceberg",really liked it,4.00,"Jan 06, 2018",311pp
"Ready Player One(Ready Player One, #1)","Cline, Ernest",it was amazing,4.23,"Dec 27, 2017",480pp
"Warcross(Warcross, #1)","Lu, Marie",liked it,4.13,"Dec 23, 2017",353pp
Diary of an Oxygen Thief,Anonymous,liked it,2.72,"Dec 19, 2017",140pp
The Neverending Story,"Ende, Michael",really liked it,4.18,"Dec 13, 2017",396pp
The Secret Lives of Baba Segi's Wives,"Shoneyin, Lola",really liked it,4.08,"Dec 12, 2017",280pp
"Scythe(Arc of a Scythe, #1)","Shusterman, Neal",really liked it,4.32,"Dec 05, 2017",435pp
"The Mall(Downside, #1)","Grey, S.L.",it was ok,3.57,"Dec 04, 2017",312pp
Hunger: A Memoir of (My) Body,"Gay, Roxane",liked it,4.17,"Dec 03, 2017",306pp
Men Without Women,"Murakami, Haruki",really liked it,3.74,"Dec 02, 2017",242pp
"One of Us Is Lying(One of Us is Lying, #1)","McManus, Karen",it was amazing,3.92,"Nov 27, 2017",360pp
"They Both Die at the End(Death-Cast, #1)","Silvera, Adam",really liked it,3.75,"Nov 27, 2017",389pp
"Oathbringer(The Stormlight Archive, #3)","Sanderson, Brandon",liked it,4.61,"Nov 20, 2017","1,248pp"
"The Killing Lessons(Valerie Hart, #1)","Black, Saul",liked it,3.74,"Nov 19, 2017",400pp
Thirteen Reasons Why,"Asher, Jay",liked it,3.84,"Nov 17, 2017",352pp
Wonder Woman: Warbringer,"Bardugo, Leigh",really liked it,4.00,"Nov 15, 2017",369pp
"The Hate U Give(The Hate U Give, #1)","Thomas, Angie",liked it,4.46,"Nov 14, 2017",454pp
It,"King, Stephen",really liked it,4.24,"Nov 05, 2017","1,184pp"
God Help the Child,"Morrison, Toni",liked it,3.78,"Oct 24, 2017",178pp
First They Killed My Father: A Daughter of Cambodia Remembers,"Ung, Loung",liked it,4.35,"Oct 22, 2017",238pp
False Memory,"Koontz, Dean",it was ok,3.90,"Oct 08, 2017",751pp
Perfume: The Story of a Murderer,"Süskind, Patrick",really liked it,4.04,"Oct 04, 2017",263pp
The First Fifteen Lives of Harry August,"North, Claire",it was amazing,4.03,"Sep 30, 2017",416pp
We Are Okay,"LaCour, Nina",really liked it,3.93,"Sep 12, 2017",236pp
"The First Book of Swords(Books of Swords, #1)","Saberhagen, Fred",it was ok,3.80,"Sep 11, 2017",309pp
"The Rook(The Checquy Files, #1)","O'Malley, Daniel",really liked it,4.10,"Sep 10, 2017",504pp
Beauty Queens,"Bray, Libba",really liked it,3.62,"Aug 26, 2017",396pp
"Half the World(Shattered Sea, #2)","Abercrombie, Joe",it was amazing,4.19,"Aug 26, 2017",366pp
Jonathan Strange & Mr Norrell,"Clarke, Susanna",liked it,3.87,"Aug 26, 2017",782pp
"The Godless(Children, #1)","Peek, Ben",liked it,3.50,"Aug 26, 2017",392pp
Release,"Ness, Patrick",really liked it,3.64,"Aug 25, 2017",287pp
Blister,"Strand, Jeff",liked it,3.96,"Aug 24, 2017",275pp
More Than This,"Ness, Patrick",liked it,3.94,"Jul 30, 2017",480pp
Pressure,"Strand, Jeff",really liked it,4.05,"Jul 26, 2017",239pp
"The Opal Deception(Artemis Fowl, #4)","Colfer, Eoin",liked it,4.06,"Jul 26, 2017",528pp
Artemis,"Weir, Andy",liked it,3.69,"Jul 26, 2017",322pp
Under the Udala Trees,"Okparanta, Chinelo",it was amazing,4.03,"Jul 20, 2017",328pp
The Rest of Us Just Live Here,"Ness, Patrick",it was amazing,3.68,"Jul 20, 2017",348pp
The Night Circus,"Morgenstern, Erin",it was amazing,4.00,"Jul 12, 2017",506pp
"How to be a Nigerian(Working Paper Series, 1/1990)","Enahoro, Peter",it was amazing,3.96,"Jul 09, 2017",96pp
Lost Boy: The True Story of Captain Hook,"Henry, Christina",it was amazing,4.21,"Jul 04, 2017",292pp
"Alice(The Chronicles of Alice, #1)","Henry, Christina",liked it,3.83,"Jul 04, 2017",291pp
Dark Places,"Flynn, Gillian",liked it,3.94,"Jul 03, 2017",424pp
Sour Candy,"Burke, Kealan Patrick",liked it,3.62,"Jul 03, 2017",84pp
"Wizard's First Rule(Sword of Truth, #1)","Goodkind, Terry",really liked it,4.12,"Jul 01, 2017",836pp
A Clockwork Orange,"Burgess, Anthony",it was amazing,4.00,"Jun 21, 2017",192pp
Serial Hottie,"Oram, Kelly",really liked it,3.90,"Jun 13, 2017",374pp
"The Avery Shaw Experiment(Science Squad, #1)","Oram, Kelly",it was amazing,3.98,"Jun 12, 2017",303pp
Scrappy Little Nobody,"Kendrick, Anna",liked it,3.85,"Jun 11, 2017",275pp
Furiously Happy: A Funny Book About Horrible Things,"Lawson, Jenny",liked it,3.89,"May 21, 2017",329pp
"Lord of Chaos(The Wheel of Time, #6)","Jordan, Robert",really liked it,4.19,"May 20, 2017","1,011pp"
"The Fires of Heaven(The Wheel of Time, #5)","Jordan, Robert",it was amazing,4.20,"May 01, 2017",912pp
A Twist in the Tale,"Archer, Jeffrey",really liked it,3.89,"Apr 17, 2017",320pp
"Sufficiently Advanced Magic(Arcane Ascension, #1)","Rowe, Andrew",it was ok,4.12,"Apr 13, 2017",625pp
"BZRK(BZRK, #1)","Grant, Michael",liked it,3.68,"Apr 03, 2017",400pp
"Blood of My Blood(I Hunt Killers, #3)","Lyga, Barry",liked it,4.32,"Apr 03, 2017",479pp
Animal Farm,"Orwell, George",really liked it,4.00,"Apr 03, 2017",129pp
The Dice Man,"Rhinehart, Luke",it was ok,3.55,"Apr 01, 2017",541pp
If We Were Villains,"Rio, M.L.",it was amazing,4.12,"Apr 01, 2017",354pp
"Game(I Hunt Killers, #2)","Lyga, Barry",really liked it,4.22,"Apr 01, 2017",520pp
Dragon of Ash & Stars: The Autobiography of a Night Dragon(The Dragons of Solunas #1),"Dickson, H. Leighton",it was amazing,4.34,"Mar 31, 2017",365pp
Psych Investigation Episodes: Episode IV,"Weinberg, Kevin",really liked it,4.65,"Mar 13, 2017",603pp
Psych Investigation Episodes: Episode III,"Weinberg, Kevin",really liked it,4.64,"Mar 12, 2017",432pp
Psych Investigation Episodes: Episode II,"Weinberg, Kevin",liked it,4.59,"Mar 12, 2017",390pp
Psych Investigation Episodes: Episode 1,"Weinberg, Kevin",liked it,4.54,"Mar 12, 2017",336pp
"Crooked Kingdom(Six of Crows, #2)","Bardugo, Leigh",it was amazing,4.58,"Mar 10, 2017",561pp
"The Shadow Rising(The Wheel of Time, #4)","Jordan, Robert",really liked it,4.28,"Mar 03, 2017","1,007pp"
"The Dragon Reborn(The Wheel of Time, #3)","Jordan, Robert",really liked it,4.28,"Feb 27, 2017",624pp
"The Great Hunt(The Wheel of Time, #2)","Jordan, Robert",really liked it,4.27,"Feb 16, 2017",705pp
"Seer of Egypt(The King's Man, #2)","Gedge, Pauline",really liked it,4.13,"Feb 12, 2017",504pp
The Silver Linings Playbook,"Quick, Matthew",it was amazing,3.98,"Feb 10, 2017",291pp
Joyland,"King, Stephen",liked it,3.93,"Feb 09, 2017",285pp
"Six of Crows(Six of Crows, #1)","Bardugo, Leigh",it was amazing,4.47,"Jan 10, 2017",480pp
"The Three-Body Problem(Remembrance of Earth’s Past, #1)","Liu, Cixin",really liked it,4.08,"Jan 06, 2017",472pp
"The Eye of the World(The Wheel of Time, #1)","Jordan, Robert",really liked it,4.19,"Jan 04, 2017",800pp
"Tong Lashing(Sir Apropos of Nothing, #3)","David, Peter",really liked it,3.61,"Jan 02, 2017",432pp
"The Woad to Wuin(Sir Apropos of Nothing, #2)","David, Peter",liked it,3.71,"Jan 01, 2017",512pp
Born a Crime: Stories From a South African Childhood,"Noah, Trevor",really liked it,4.49,"Dec 23, 2016",289pp
"Deadhouse Gates(Malazan Book of the Fallen, #2)","Erikson, Steven",liked it,4.27,"Dec 21, 2016",868pp
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"Manson, Mark",liked it,3.87,"Dec 14, 2016",212pp
"Gardens of the Moon(Malazan Book of the Fallen, #1)","Erikson, Steven",really liked it,3.93,"Dec 03, 2016",666pp
Out,"Kirino, Natsuo",really liked it,3.94,"Nov 28, 2016",400pp
"I Don't Want to Kill You(John Cleaver, #3)","Wells, Dan",liked it,4.23,"Nov 28, 2016",320pp
"Mr. Monster(John Cleaver, #2)","Wells, Dan",liked it,4.11,"Nov 28, 2016",288pp
"I Am Not a Serial Killer(John Cleaver, #1)","Wells, Dan",liked it,3.79,"Nov 28, 2016",271pp
"I Hunt Killers(I Hunt Killers, #1)","Lyga, Barry",really liked it,4.01,"Nov 28, 2016",359pp
The Flicker Men,"Kosmatka, Ted",liked it,3.62,"Nov 28, 2016",352pp
"The Blade Itself(The First Law, #1)","Abercrombie, Joe",really liked it,4.22,"Nov 28, 2016",515pp
"Sir Apropos of Nothing(Sir Apropos of Nothing, #1)","David, Peter",liked it,3.76,"Nov 28, 2016",672pp
The Folding Knife,"Parker, K.J.",liked it,4.00,"Nov 28, 2016",432pp
The Twice Born(The King's Man #1),"Gedge, Pauline",really liked it,4.19,"Nov 28, 2016",554pp
"The Boy with the Porcelain Blade(Erebus Sequence, #1)","Patrick, Den",really liked it,3.31,"Nov 23, 2016",336pp
"Victor Deus(Heritage of the Blood, #1)","Markee, Brent Lee",did not like it,4.00,"Nov 21, 2016",310pp
"I Am the Traitor(The Unknown Assassin, #3)","Zadoff, Allen",it was ok,4.09,"Nov 20, 2016",352pp
"I Am the Mission(The Unknown Assassin, #2)","Zadoff, Allen",it was ok,4.15,"Nov 20, 2016",432pp
Behind Closed Doors,"Paris, B.A.",it was ok,3.97,"Nov 19, 2016",293pp
"A Gathering of Shadows(Shades of Magic, #2)","Schwab, V.E.",really liked it,4.20,"Nov 19, 2016",512pp
"A Darker Shade of Magic(Shades of Magic, #1)","Schwab, V.E.",really liked it,4.04,"Nov 17, 2016",400pp
"Control Point(Shadow Ops, #1)","Cole, Myke",did not like it,3.51,"Nov 17, 2016",382pp
"The Copper Promise(The Copper Cat, #1)","Williams, Jen",did not like it,3.67,"Nov 16, 2016",535pp
"Boy Nobody(The Unknown Assassin, #1)","Zadoff, Allen",really liked it,3.93,"Nov 16, 2016",340pp
Heartless,"Meyer, Marissa",it was amazing,4.09,"Nov 08, 2016",453pp
Perfect State,"Sanderson, Brandon",liked it,4.04,"Nov 03, 2016",87pp
"Mitosis(The Reckoners, #1.5)","Sanderson, Brandon",,3.85,"Nov 03, 2016",55pp
"Calamity(Reckoners, #3)","Sanderson, Brandon",really liked it,4.18,"Nov 03, 2016",424pp
"Firefight(The Reckoners, #2)","Sanderson, Brandon",really liked it,4.25,"Nov 03, 2016",416pp
Anansi Boys,"Gaiman, Neil",really liked it,4.04,"Nov 03, 2016",387pp
Stardust,"Gaiman, Neil",really liked it,4.10,"Nov 03, 2016",248pp
"Neverwhere(London Below, #1)","Gaiman, Neil",liked it,4.16,"Nov 03, 2016",370pp
The Ocean at the End of the Lane,"Gaiman, Neil",really liked it,4.02,"Nov 03, 2016",181pp
American Gods,"Gaiman, Neil",really liked it,4.10,"Nov 03, 2016",635pp
Norse Mythology,"Gaiman, Neil",liked it,4.10,"Nov 03, 2016",299pp
Dark Matter,"Crouch, Blake",really liked it,4.14,"Nov 02, 2016",342pp
The Ballad of Black Tom,"LaValle, Victor",liked it,3.84,"Nov 01, 2016",149pp
The Last Days of Jack Sparks,"Arnopp, Jason",it was amazing,3.85,"Oct 08, 2016",336pp
"Chaos(I Bring the Fire, #3)","Gockel, C.",liked it,4.23,"Oct 08, 2016",322pp
"Red Sister(Book of the Ancestor, #1)","Lawrence, Mark",liked it,4.16,"Oct 06, 2016",467pp
"The Hammer of Thor(Magnus Chase and the Gods of Asgard, #2)","Riordan, Rick",liked it,4.30,"Oct 06, 2016",459pp
"The Sword of Summer(Magnus Chase and the Gods of Asgard, #1)","Riordan, Rick",liked it,4.23,"Oct 06, 2016",512pp
Quantum Night,"Sawyer, Robert J.",it was amazing,3.66,"Oct 02, 2016",368pp
We Are All Completely Fine,"Gregory, Daryl",really liked it,3.74,"Oct 02, 2016",182pp
The Sailor Who Fell from Grace with the Sea,"Mishima, Yukio",liked it,3.84,"Oct 01, 2016",181pp
On Black Sisters Street,"Unigwe, Chika",really liked it,3.87,"Oct 01, 2016",258pp
"The Giver(The Giver, #1)","Lowry, Lois",really liked it,4.12,"Sep 27, 2016",179pp
"Gathering Blue(The Giver, #2)","Lowry, Lois",liked it,3.82,"Sep 27, 2016",240pp
In Hero Years... I'm Dead,"Stackpole, Michael A.",liked it,3.89,"Sep 22, 2016",325pp
"Family(Insanity, #7)","Jace, Cameron",liked it,4.40,"Sep 20, 2016",234pp
"Nameless(Nameless, #1)","Jenkins, Jennifer",liked it,3.99,"Sep 17, 2016",unknown
"Checkmate(Insanity, #6)","Jace, Cameron",really liked it,4.36,"Sep 17, 2016",unknown
"Wonder(Insanity, #5)","Jace, Cameron",really liked it,4.40,"Sep 17, 2016",327pp
"Hookah(Insanity, #4)","Jace, Cameron",really liked it,4.31,"Sep 16, 2016",290pp
Hero Is a Four Letter Word,"Frey, J.M.",liked it,3.79,"Sep 16, 2016",95pp
"Circus(Insanity, #3)","Jace, Cameron",really liked it,4.26,"Sep 16, 2016",unknown
"Figment(Insanity, #2)","Jace, Cameron",liked it,4.14,"Sep 15, 2016",325pp
"Insanity(Insanity, #1)","Jace, Cameron",liked it,3.83,"Sep 15, 2016",254pp
The Sunbird,"Smith, Wilbur",really liked it,4.02,"Sep 10, 2016",615pp
The Paper Menagerie and Other Stories,"Liu, Ken",it was amazing,4.36,"Sep 10, 2016",450pp
"Ex-Purgatory(Ex-Heroes, #4)","Clines, Peter",really liked it,3.98,"Aug 24, 2016",352pp
"Ex-Isle(Ex-Heroes, #5)","Clines, Peter",really liked it,3.98,"Aug 24, 2016",389pp
"Ex-Communication(Ex-Heroes, #3)","Clines, Peter",really liked it,4.12,"Aug 24, 2016",352pp
"Ex-Patriots(Ex-Heroes, #2)","Clines, Peter",liked it,4.07,"Aug 24, 2016",405pp
"Ex-Heroes(Ex-Heroes, #1)","Clines, Peter",really liked it,3.86,"Aug 24, 2016",336pp
"14(Threshold, #1)","Clines, Peter",really liked it,3.97,"Aug 24, 2016",372pp
"The Fold(Threshold, #2)","Clines, Peter",liked it,3.88,"Aug 24, 2016",384pp
"The Girl with All the Gifts(The Girl With All the Gifts, #1)","Carey, M.R.",it was amazing,3.95,"Aug 24, 2016",461pp
Nod,"Barnes, Adrian",really liked it,3.37,"Aug 24, 2016",206pp
"Yellow Brick War(Dorothy Must Die, #3)","Paige, Danielle",liked it,3.80,"Aug 19, 2016",270pp
"The Wicked Will Rise(Dorothy Must Die, #2)","Paige, Danielle",liked it,3.78,"Aug 19, 2016",293pp
"Dorothy Must Die(Dorothy Must Die, #1)","Paige, Danielle",liked it,3.80,"Aug 19, 2016",452pp
"Ruler of Beasts(Dorothy Must Die, #0.6)","Paige, Danielle",it was ok,3.71,"Aug 19, 2016",84pp
"The Straw King(Dorothy Must Die, #0.5)","Paige, Danielle",liked it,3.60,"Aug 19, 2016",116pp
"Heart of Tin(Dorothy Must Die, #0.4)","Paige, Danielle",liked it,3.50,"Aug 19, 2016",93pp
"Dorothy Must Die: Stories(Dorothy Must Die, #0.1-0.3)","Paige, Danielle",liked it,3.82,"Aug 19, 2016",392pp
1984,"Orwell, George",liked it,4.20,"Aug 09, 2016",328pp
"Harry Potter and the Half-Blood Prince(Harry Potter, #6)","Rowling, J.K.",liked it,4.58,"Aug 09, 2016",652pp
"Harry Potter and the Chamber of Secrets(Harry Potter, #2)","Rowling, J.K.",really liked it,4.43,"Aug 09, 2016",352pp
"Harry Potter and the Goblet of Fire(Harry Potter, #4)","Rowling, J.K.",really liked it,4.57,"Aug 09, 2016",734pp
"Harry Potter and the Order of the Phoenix(Harry Potter, #5)","Rowling, J.K.",liked it,4.50,"Aug 09, 2016",912pp
"Harry Potter and the Deathly Hallows(Harry Potter, #7)","Rowling, J.K.",really liked it,4.62,"Aug 09, 2016",759pp
"Harry Potter and the Prisoner of Azkaban(Harry Potter, #3)","Rowling, J.K.",really liked it,4.58,"Aug 09, 2016",435pp
"Charlie Bone and the Shadow(The Children of the Red King, #7)","Nimmo, Jenny",really liked it,4.03,"Aug 09, 2016",429pp
"Charlie Bone and the Beast(The Children of the Red King, #6)","Nimmo, Jenny",liked it,3.95,"Aug 09, 2016",389pp
"Charlie Bone and the Time Twister(The Children of the Red King, #2)","Nimmo, Jenny",liked it,3.91,"Aug 09, 2016",unknown
"Charlie Bone and the Invisible Boy(The Children of the Red King, #3)","Nimmo, Jenny",really liked it,3.92,"Aug 09, 2016",408pp
"Charlie Bone and the Hidden King(The Children of the Red King, #5)","Nimmo, Jenny",liked it,4.01,"Aug 09, 2016",464pp
"Charlie Bone and the Castle of Mirrors(The Children of the Red King, #4)","Nimmo, Jenny",really liked it,3.92,"Aug 09, 2016",410pp
"Midnight for Charlie Bone(The Children of the Red King, #1)","Nimmo, Jenny",really liked it,3.84,"Aug 09, 2016",401pp
"Brisingr(The Inheritance Cycle, #3)","Paolini, Christopher",really liked it,4.11,"Aug 09, 2016",748pp
"The Throne of Fire(The Kane Chronicles, #2)","Riordan, Rick",,4.19,"Aug 06, 2016",452pp
"The House of Hades(The Heroes of Olympus, #4)","Riordan, Rick",liked it,4.57,"Aug 06, 2016",597pp
"The Red Pyramid(The Kane Chronicles, #1)","Riordan, Rick",liked it,4.10,"Aug 06, 2016",528pp
"The Mark of Athena(The Heroes of Olympus, #3)","Riordan, Rick",really liked it,4.47,"Aug 06, 2016",586pp
"The Son of Neptune(The Heroes of Olympus, #2)","Riordan, Rick",liked it,4.41,"Aug 06, 2016",521pp
"The Lost Hero(The Heroes of Olympus, #1)","Riordan, Rick",liked it,4.29,"Aug 06, 2016",576pp
"The Last Olympian(Percy Jackson and the Olympians, #5)","Riordan, Rick",liked it,4.55,"Aug 06, 2016",381pp
"The Sea of Monsters(Percy Jackson and the Olympians, #2)","Riordan, Rick",liked it,4.24,"Aug 06, 2016",279pp
"The Battle of the Labyrinth(Percy Jackson and the Olympians, #4)","Riordan, Rick",liked it,4.42,"Aug 06, 2016",361pp
"The Lightning Thief(Percy Jackson and the Olympians, #1)","Riordan, Rick",liked it,4.31,"Aug 06, 2016",377pp
"Monsters(I Bring the Fire, #2)","Gockel, C.",really liked it,4.13,"Aug 06, 2016",264pp
"Wolves(I Bring the Fire, #1)","Gockel, C.",really liked it,3.77,"Aug 06, 2016",254pp
"The Gospel of Loki(Loki, #1)","Harris, Joanne M.",really liked it,3.74,"Aug 06, 2016",302pp
"The Dirty Streets of Heaven(Bobby Dollar, #1)","Williams, Tad",liked it,3.74,"Aug 06, 2016",406pp
Eragon(The Inheritance Cycle #1),"Paolini, Christopher",really liked it,3.96,"Jul 26, 2016",503pp
The Lesser Dead,"Buehlman, Christopher",really liked it,4.06,"Jul 20, 2016",368pp
"Valor(The Faithful and the Fallen, #2)","Gwynne, John",liked it,4.43,"Jul 15, 2016",649pp
"City of Blades(The Divine Cities, #2)","Bennett, Robert Jackson",really liked it,4.21,"Jul 15, 2016",484pp
The Stranger,"Camus, Albert",liked it,4.03,"Jun 30, 2016",123pp
Taliesin(The Pendragon Cycle #1),"Lawhead, Stephen R.",liked it,4.01,"Jun 03, 2016",496pp
Fight Club,"Palahniuk, Chuck",really liked it,4.18,"Jun 03, 2016",218pp
The Buried Giant,"Ishiguro, Kazuo",it was ok,3.59,"Apr 16, 2016",317pp
"Ink and Bone(The Great Library, #1)","Caine, Rachel",it was amazing,3.97,"Mar 07, 2016",362pp
"Wake of Vultures(The Shadow, #1)","Bowen, Lila",really liked it,3.88,"Mar 07, 2016",342pp
The Library at Mount Char,"Hawkins, Scott",it was amazing,4.07,"Mar 06, 2016",390pp
"The Wheel of Osheim(The Red Queen's War, #3)","Lawrence, Mark",really liked it,4.32,"Feb 25, 2016",415pp
The Builders,"Polansky, Daniel",really liked it,3.76,"Feb 21, 2016",226pp
"Low Town(Low Town, #1)","Polansky, Daniel",did not like it,3.86,"Feb 21, 2016",352pp
Devil's Cape,"Rogers, Rob",it was amazing,3.98,"Feb 21, 2016",416pp
She Comes First: The Thinking Man's Guide to Pleasuring a Woman,"Kerner, Ian",really liked it,4.08,"Feb 01, 2016",228pp
The First Fifteen Lives of Harry August,"North, Claire",it was amazing,4.03,"Dec 11, 2015",405pp
Seveneves,"Stephenson, Neal",it was amazing,4.00,"Nov 03, 2015",872pp
The God Engines,"Scalzi, John",really liked it,3.63,"Oct 30, 2015",136pp
The Girl With All the Gifts: Extended Free Preview,"Carey, M.R.",it was amazing,3.98,"Oct 24, 2015",unknown
"Herald of the Storm(Steelhaven, #1)","Ford, Richard S.",liked it,3.73,"Oct 01, 2015",400pp
The Martian,"Weir, Andy",it was amazing,4.42,"Oct 01, 2015",384pp
"The Maze Runner(The Maze Runner, #1)","Dashner, James",really liked it,4.05,"Sep 30, 2015",384pp
"So Long, and Thanks for All the Fish(Hitchhiker's Guide to the Galaxy, #4)","Adams, Douglas",liked it,4.09,"Sep 30, 2015",167pp
"The Hitchhiker’s Guide to the Galaxy(Hitchhiker's Guide to the Galaxy, #1)","Adams, Douglas",it was amazing,4.22,"Sep 30, 2015",216pp
Superpowers,"Schwartz, David J.",liked it,3.26,"Jul 16, 2015",377pp
"The Academy(The Central, #1)","Rawlins, Zachary",it was ok,3.50,"Jul 16, 2015",397pp
Station Eleven,"Mandel, Emily St. John",it was ok,4.07,"Jul 16, 2015",333pp
"The Wise Man's Fear(The Kingkiller Chronicle, #2)","Rothfuss, Patrick",it was amazing,4.55,"Jul 15, 2015",994pp
The Dresden Files: Storm Front: Vol. 1: The Gathering Storm,"Butcher, Jim",liked it,4.35,"Jun 12, 2015",128pp
"Fever Dream(Pendergast, #10)","Preston, Douglas",really liked it,4.13,"Jun 12, 2015",405pp
"Still Life With Crows(Pendergast, #4)","Preston, Douglas",really liked it,4.21,"Jun 12, 2015",571pp
"Prince of Thorns(Broken Empire, #1)","Lawrence, Mark",really liked it,3.83,"Jun 12, 2015",373pp
"Skin Game(The Dresden Files, #15)","Butcher, Jim",really liked it,4.56,"Jun 12, 2015",464pp
"Ghost Story(The Dresden Files, #13)","Butcher, Jim",liked it,4.25,"Jun 12, 2015",481pp
"Cold Days(The Dresden Files, #14)","Butcher, Jim",it was ok,4.47,"Jun 12, 2015",515pp
"Furies of Calderon(Codex Alera, #1)","Butcher, Jim",really liked it,4.13,"Jun 12, 2015",688pp
"Turn Coat(The Dresden Files, #11)","Butcher, Jim",liked it,4.44,"Jun 12, 2015",420pp
"Small Favor(The Dresden Files, #10)","Butcher, Jim",really liked it,4.43,"Jun 12, 2015",423pp
"White Night(The Dresden Files, #9)","Butcher, Jim",really liked it,4.38,"Jun 12, 2015",407pp
"Proven Guilty(The Dresden Files, #8)","Butcher, Jim",really liked it,4.39,"Jun 12, 2015",547pp
"Blood Rites(The Dresden Files, #6)","Butcher, Jim",liked it,4.29,"Jun 12, 2015",372pp
"Death Masks(The Dresden Files, #5)","Butcher, Jim",really liked it,4.29,"Jun 12, 2015",432pp
"Dead Beat(The Dresden Files, #7)","Butcher, Jim",it was ok,4.41,"Jun 12, 2015",528pp
"Summer Knight(The Dresden Files, #4)","Butcher, Jim",really liked it,4.26,"Jun 12, 2015",446pp
"Grave Peril(The Dresden Files, #3)","Butcher, Jim",liked it,4.14,"Jun 12, 2015",378pp
"Fool Moon(The Dresden Files, #2)","Butcher, Jim",liked it,3.98,"Jun 12, 2015",424pp
The Emperor's Soul,"Sanderson, Brandon",liked it,4.38,"Jun 12, 2015",192pp
"Redemption(Infinity Blade, #2)","Sanderson, Brandon",really liked it,3.79,"Jun 12, 2015",200pp
"Awakening(Infinity Blade, #1)","Sanderson, Brandon",really liked it,3.83,"Jun 12, 2015",123pp
"Skin Deep(Legion, #2)","Sanderson, Brandon",really liked it,4.12,"Jun 12, 2015",208pp
"Legion(Legion, #1)","Sanderson, Brandon",it was amazing,4.13,"Jun 12, 2015",88pp
The Rithmatist(The Rithmatist #1),"Sanderson, Brandon",liked it,4.25,"Jun 12, 2015",386pp
"Words of Radiance(The Stormlight Archive, #2)","Sanderson, Brandon",really liked it,4.76,"Jun 12, 2015","1,088pp"
"Steelheart(The Reckoners, #1)","Sanderson, Brandon",really liked it,4.14,"Jun 12, 2015",386pp
"The Way of Kings(The Stormlight Archive, #1)","Sanderson, Brandon",it was amazing,4.67,"Jun 12, 2015","1,007pp"
"Mistborn: The Final Empire(Mistborn, #1)","Sanderson, Brandon",really liked it,4.49,"Jun 12, 2015",541pp
"The Unnatural Inquirer(Nightside, #8)","Green, Simon R.",really liked it,4.04,"Jun 12, 2015",246pp
"The Man with the Golden Torc(Secret Histories, #1)","Green, Simon R.",really liked it,3.86,"Jun 12, 2015",393pp
"Hell to Pay(Nightside, #7)","Green, Simon R.",really liked it,4.06,"Jun 12, 2015",264pp
"Sharper Than a Serpent's Tooth(Nightside, #6)","Green, Simon R.",really liked it,4.11,"Jun 12, 2015",247pp
"Paths Not Taken(Nightside, #5)","Green, Simon R.",really liked it,4.05,"Jun 12, 2015",262pp
"Nightingale's Lament(Nightside, #3)","Green, Simon R.",really liked it,3.98,"Jun 12, 2015",217pp
"Agents of Light and Darkness(Nightside, #2)","Green, Simon R.",really liked it,4.00,"Jun 12, 2015",233pp
"Something from the Nightside(Nightside, #1)","Green, Simon R.",liked it,3.78,"Jun 12, 2015",230pp
"The Devil You Know(Felix Castor, #1)","Carey, Mike",liked it,3.81,"May 24, 2015",406pp
"The False Prince(Ascendance, #1)","Nielsen, Jennifer A.",really liked it,4.24,"May 24, 2015",342pp
"The Merchant of Death(Pendragon, #1)","MacHale, D.J.",liked it,3.97,"May 24, 2015",375pp
"The Knife of Never Letting Go(Chaos Walking, #1)","Ness, Patrick",really liked it,3.98,"May 24, 2015",479pp
"The Way of the Warrior(Young Samurai, #1)","Bradford, Chris",really liked it,4.25,"May 24, 2015",368pp
"Zero Sight(Zero Sight, #1)","Shier, B. Justin",liked it,4.02,"May 24, 2015",236pp
"Sandstorm(Sigma Force, #1)","Rollins, James",liked it,3.96,"May 24, 2015",574pp
"The Ruins of Gorlan(Ranger's Apprentice, #1)","Flanagan, John",liked it,4.25,"May 24, 2015",249pp
"The Lion, the Witch and the Wardrobe(Chronicles of Narnia, #1)","Lewis, C.S.",really liked it,4.24,"May 24, 2015",206pp
"The Hundred Thousand Kingdoms(Inheritance, #1)","Jemisin, N.K.",liked it,3.89,"May 24, 2015",427pp
"The Summoner(Chronicles of the Necromancer, #1)","Martin, Gail Z.",liked it,3.74,"May 24, 2015",637pp
"Here, There Be Dragons(Chronicles of the Imaginarium Geographica, #1)","Owen, James A.",liked it,3.86,"May 24, 2015",326pp
"The Midnight Mayor(Matthew Swift, #2)","Griffin, Kate",really liked it,4.14,"May 24, 2015",480pp
"Deathwish(Cal Leandros, #4)","Thurman, Rob",it was ok,4.10,"May 24, 2015",336pp
